"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.871106023E1,5.162316998E1,6.974419090E0,4.261398899E1,8.734600830E1,0.000000000E0,0.000000000E0,2.190860750E-2,3.897576332E0,3.384774685E0,2.300000000E1
6.971172820E1,5.162317029E1,6.974418720E0,4.268643892E1,8.741845703E1,0.000000000E0,0.000000000E0,2.194824033E-2,3.863633394E0,3.319008589E0,2.300000000E1
7.071154638E1,5.162317059E1,6.974418410E0,4.275797324E1,8.748999023E1,0.000000000E0,0.000000000E0,2.195549302E-2,3.892050743E0,3.362977743E0,2.300000000E1
7.171322159E1,5.162317061E1,6.974418310E0,4.278690404E1,8.751892090E1,0.000000000E0,0.000000000E0,2.199446710E-2,3.882621765E0,3.354301214E0,2.300000000E1
7.270963388E1,5.162317088E1,6.974417950E0,4.283347493E1,8.756549072E1,0.000000000E0,0.000000000E0,2.203093984E-2,3.871875763E0,3.340242624E0,2.300000000E1
7.371104836E1,5.162317115E1,6.974417650E0,4.287522400E1,8.760723877E1,0.000000000E0,0.000000000E0,2.204034236E-2,3.901882172E0,3.385500193E0,2.300000000E1
7.471052409E1,5.162317119E1,6.974417530E0,4.290037069E1,8.763238525E1,0.000000000E0,0.000000000E0,2.205031910E-2,3.950086832E0,3.435405493E0,2.300000000E1
7.571162346E1,5.162317124E1,6.974417410E0,4.294523177E1,8.767724609E1,0.000000000E0,0.000000000E0,2.206177633E-2,3.956311941E0,3.429821491E0,2.300000000E1
7.671176080E1,5.162317134E1,6.974417370E0,4.294382829E1,8.767584229E1,0.000000000E0,0.000000000E0,2.207236240E-2,3.978289127E0,3.456932545E0,2.300000000E1
7.771254830E1,5.162317143E1,6.974417320E0,4.295017625E1,8.768218994E1,0.000000000E0,0.000000000E0,2.209411084E-2,3.980089188E0,3.438368082E0,2.300000000E1
7.871053773E1,5.162317157E1,6.974417100E0,4.297538435E1,8.770739746E1,0.000000000E0,0.000000000E0,2.210815591E-2,3.958110094E0,3.385135651E0,2.200000000E1
7.971011226E1,5.162317168E1,6.974417000E0,4.298985008E1,8.772186279E1,0.000000000E0,0.000000000E0,2.212855009E-2,3.919606209E0,3.318820715E0,2.200000000E1
8.070979836E1,5.162317183E1,6.974416830E0,4.301102985E1,8.774304199E1,0.000000000E0,0.000000000E0,2.243331333E-2,3.875676870E0,3.254528999E0,2.200000000E1
8.171084872E1,5.162316912E1,6.974417490E0,4.300534507E1,8.773736572E1,0.000000000E0,0.000000000E0,2.245524828E-2,3.821712255E0,3.201070309E0,2.300000000E1
8.271085757E1,5.162316930E1,6.974417360E0,4.302408349E1,8.775610352E1,0.000000000E0,0.000000000E0,2.248039382E-2,3.790092468E0,3.155480862E0,2.300000000E1
8.371089387E1,5.162316950E1,6.974417190E0,4.304318821E1,8.777520752E1,0.000000000E0,0.000000000E0,2.250551867E-2,3.790092468E0,3.103903532E0,2.300000000E1
8.471069419E1,5.162316968E1,6.974416970E0,4.305850873E1,8.779052734E1,0.000000000E0,0.000000000E0,2.252328863E-2,3.790092468E0,3.121672630E0,2.300000000E1
8.571345887E1,5.162316980E1,6.974416800E0,4.308182465E1,8.781384277E1,0.000000000E0,0.000000000E0,2.253569793E-2,3.790092468E0,3.162517548E0,2.200000000E1
8.671060471E1,5.162316987E1,6.974416660E0,4.310959595E1,8.784161377E1,0.000000000E0,0.000000000E0,2.256737480E-2,3.790092468E0,3.200430393E0,2.200000000E1
8.771004398E1,5.162317012E1,6.974416440E0,4.314695037E1,8.787896729E1,0.000000000E0,0.000000000E0,2.257993722E-2,3.807954788E0,3.248240232E0,2.200000000E1
8.871324544E1,5.162317021E1,6.974416330E0,4.317142582E1,8.790344238E1,0.000000000E0,0.000000000E0,2.260611347E-2,3.807494640E0,3.278523922E0,2.200000000E1
8.971056293E1,5.162317041E1,6.974416130E0,4.322123125E1,8.795324707E1,0.000000000E0,0.000000000E0,2.262703874E-2,3.848438025E0,3.368002176E0,2.200000000E1
9.071171351E1,5.162317058E1,6.974416000E0,4.325412980E1,8.798614502E1,0.000000000E0,0.000000000E0,2.263699798E-2,3.833811283E0,3.364242554E0,2.200000000E1
9.171320976E1,5.162317065E1,6.974415910E0,4.327616377E1,8.800817871E1,0.000000000E0,0.000000000E0,2.264421854E-2,3.817352772E0,3.341844320E0,2.300000000E1
9.271173569E1,5.162317059E1,6.974415870E0,4.330045561E1,8.803247070E1,0.000000000E0,0.000000000E0,2.264552735E-2,3.790092468E0,3.301906586E0,2.300000000E1
9.371109970E1,5.162317058E1,6.974415880E0,4.330655909E1,8.803857422E1,0.000000000E0,0.000000000E0,2.265590887E-2,3.790092468E0,3.253654718E0,2.300000000E1
9.471288257E1,5.162317049E1,6.974415920E0,4.332218379E1,8.805419922E1,0.000000000E0,0.000000000E0,2.266023932E-2,3.790092468E0,3.253866673E0,2.300000000E1
9.571123871E1,5.162317052E1,6.974415880E0,4.333060676E1,8.806262207E1,0.000000000E0,0.000000000E0,2.266468711E-2,3.790092468E0,3.276452780E0,2.300000000E1
9.671003548E1,5.162317056E1,6.974415880E0,4.334037251E1,8.807238770E1,0.000000000E0,0.000000000E0,2.267655300E-2,3.793679714E0,3.314404249E0,2.300000000E1
9.771093725E1,5.162317046E1,6.974415940E0,4.335489853E1,8.808691406E1,0.000000000E0,0.000000000E0,2.268537010E-2,3.790092468E0,3.280369043E0,2.100000000E1
9.871027418E1,5.162317039E1,6.974416000E0,4.335953695E1,8.809155273E1,0.000000000E0,0.000000000E0,2.270110408E-2,3.797092199E0,3.315411091E0,2.300000000E1
9.971274507E1,5.162317026E1,6.974416090E0,4.336429724E1,8.809631348E1,0.000000000E0,0.000000000E0,2.271289229E-2,3.790092468E0,3.215376377E0,2.300000000E1
1.007093989E2,5.162317027E1,6.974415920E0,4.336802054E1,8.810003662E1,0.000000000E0,0.000000000E0,2.298532074E-2,3.790092468E0,3.121304750E0,2.300000000E1
1.017116917E2,5.162316782E1,6.974415910E0,4.335916320E1,8.809118652E1,0.000000000E0,0.000000000E0,2.299805825E-2,3.790092468E0,3.000439405E0,2.300000000E1
1.027086428E2,5.162316772E1,6.974416000E0,4.337985376E1,8.811187744E1,0.000000000E0,0.000000000E0,2.300569921E-2,3.790092468E0,3.041662931E0,2.300000000E1
1.037088073E2,5.162316768E1,6.974415910E0,4.339523457E1,8.812725830E1,0.000000000E0,0.000000000E0,2.300681116E-2,3.790092468E0,3.109788179E0,2.300000000E1
1.047090904E2,5.162316767E1,6.974415910E0,4.340329118E1,8.813531494E1,0.000000000E0,0.000000000E0,2.301693454E-2,3.790092468E0,3.084376335E0,2.300000000E1
1.057086208E2,5.162316775E1,6.974415840E0,4.340518356E1,8.813720703E1,0.000000000E0,0.000000000E0,2.302909004E-2,3.790092468E0,3.105430603E0,2.300000000E1
1.067081901E2,5.162316783E1,6.974415720E0,4.341757402E1,8.814959717E1,0.000000000E0,0.000000000E0,2.303301648E-2,3.790092468E0,3.151266575E0,2.300000000E1
