"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.515009992E1,5.162428886E1,6.974755260E0,3.522263983E1,7.995159912E1,0.000000000E0,0.000000000E0,5.651375044E-3,2.103941727E1,1.148580170E1,7.000000000E0
7.614750768E1,5.162428886E1,6.974755330E0,3.522556947E1,7.995452881E1,0.000000000E0,0.000000000E0,5.654351787E-3,2.319539261E1,1.192075253E1,6.000000000E0
7.714889242E1,5.162428885E1,6.974755370E0,3.525675837E1,7.998571777E1,0.000000000E0,0.000000000E0,5.657390626E-3,2.485702515E1,1.195012760E1,6.000000000E0
7.814766632E1,5.162428883E1,6.974755340E0,3.524638236E1,7.997534180E1,0.000000000E0,0.000000000E0,5.659741210E-3,2.640584564E1,1.208930588E1,7.000000000E0
7.914975018E1,5.162428882E1,6.974755370E0,3.525443895E1,7.998339844E1,0.000000000E0,0.000000000E0,5.660853159E-3,2.567887115E1,1.148866844E1,7.000000000E0
8.014620299E1,5.162428881E1,6.974755370E0,3.524973921E1,7.997869873E1,0.000000000E0,0.000000000E0,5.669211240E-3,2.527601624E1,1.085403538E1,9.000000000E0
8.114689059E1,5.162428880E1,6.974755490E0,3.519120638E1,7.992016602E1,0.000000000E0,0.000000000E0,6.259199774E-3,2.370841217E1,1.059481049E1,9.000000000E0
8.214794096E1,5.162429380E1,6.974752630E0,3.485144060E1,7.958038330E1,0.000000000E0,0.000000000E0,6.259890089E-3,1.490058136E1,9.975953102E0,1.000000000E1
8.314893627E1,5.162429380E1,6.974752640E0,3.485137956E1,7.958032227E1,0.000000000E0,0.000000000E0,6.264848583E-3,1.534817505E1,9.743069649E0,1.000000000E1
8.414757002E1,5.162429381E1,6.974752710E0,3.479748550E1,7.952642822E1,0.000000000E0,0.000000000E0,6.271840717E-3,1.607844353E1,9.901867867E0,8.000000000E0
8.514907773E1,5.162429382E1,6.974752810E0,3.479827891E1,7.952722168E1,0.000000000E0,0.000000000E0,6.280124501E-3,1.783557510E1,1.009356213E1,8.000000000E0
8.615092512E1,5.162429382E1,6.974752930E0,3.475921632E1,7.948815918E1,0.000000000E0,0.000000000E0,6.281897231E-3,1.881954002E1,1.021198273E1,8.000000000E0
8.714822205E1,5.162429381E1,6.974752950E0,3.475085446E1,7.947979736E1,0.000000000E0,0.000000000E0,6.287216624E-3,1.592539692E1,1.058327103E1,8.000000000E0
8.814745788E1,5.162429383E1,6.974753020E0,3.473834226E1,7.946728516E1,0.000000000E0,0.000000000E0,6.288525428E-3,1.533195400E1,1.017787933E1,7.000000000E0
8.915598715E1,5.162429382E1,6.974753030E0,3.474023431E1,7.946917725E1,0.000000000E0,0.000000000E0,6.289906058E-3,1.498255444E1,9.860364914E0,7.000000000E0
9.014705585E1,5.162429382E1,6.974753050E0,3.470733634E1,7.943627930E1,0.000000000E0,0.000000000E0,6.294738265E-3,1.502167892E1,9.796269417E0,9.000000000E0
9.114919898E1,5.162429382E1,6.974753120E0,3.472833239E1,7.945727539E1,0.000000000E0,0.000000000E0,6.295850214E-3,1.520681477E1,1.026402187E1,9.000000000E0
9.214681293E1,5.162429381E1,6.974753120E0,3.473632796E1,7.946527100E1,0.000000000E0,0.000000000E0,6.562528869E-3,1.559869766E1,1.057581425E1,9.000000000E0
9.314773533E1,5.162429468E1,6.974749520E0,3.399792991E1,7.872686768E1,0.000000000E0,0.000000000E0,6.569749401E-3,1.536889839E1,1.088002491E1,9.000000000E0
9.414872960E1,5.162429462E1,6.974749560E0,3.401929201E1,7.874822998E1,0.000000000E0,0.000000000E0,6.577585792E-3,1.518725014E1,1.103058338E1,1.100000000E1
9.514759684E1,5.162429467E1,6.974749640E0,3.400067637E1,7.872961426E1,0.000000000E0,0.000000000E0,6.703890703E-3,1.502429771E1,1.093981743E1,1.100000000E1
9.614870585E1,5.162429425E1,6.974751340E0,3.435589847E1,7.908483887E1,0.000000000E0,0.000000000E0,6.709762509E-3,1.480627346E1,1.087494183E1,9.000000000E0
9.714809715E1,5.162429428E1,6.974751270E0,3.437597918E1,7.910491943E1,0.000000000E0,0.000000000E0,6.710874458E-3,1.452298355E1,1.082239342E1,9.000000000E0
9.814862314E1,5.162429427E1,6.974751270E0,3.438226577E1,7.911120605E1,0.000000000E0,0.000000000E0,6.711986407E-3,1.451996803E1,1.072213078E1,9.000000000E0
9.914760158E1,5.162429426E1,6.974751270E0,3.439245861E1,7.912139893E1,0.000000000E0,0.000000000E0,6.717508929E-3,1.448073483E1,1.066197205E1,9.000000000E0
1.001460294E2,5.162429426E1,6.974751190E0,3.439148211E1,7.912042236E1,0.000000000E0,0.000000000E0,6.719732828E-3,1.479021835E1,1.099323559E1,8.000000000E0
